Cutoff,downstream_distance,time,radius,cutlen,,,,,,,,,,,,,
318,18981.24529,1178,570.7384592,6612.396891,,,,,,,,,,,,,
319,208381.2097,1186.5,402.7653625,4410.692194,,,,,,,,,,,,,
320,122212.8107,1193.5,466.9274165,5761.693975,,,,,,,,,,,,,
321,257226.0942,1195.5,373.8344638,10823.14138,,,,,,,,,,,,,
322,47641.10139,1196,259.20712,2710.133877,,,,,,,,,,,,,
323,249098.8037,1205.5,600.9452105,7115.149077,,,,,,,,,,,,,
324,225859.0389,1208.5,511.3600591,6612.519521,,,,,,,,,,,,,
325,367681.0166,1210.5,234.2999645,2559.733899,,,,,,,,,,,,,
326,58947.03419,1213.5,455.6277694,5411.383822,,,,,,,,,,,,,
327,313208.5411,1220,469.0791343,5360.103396,,,,,,,,,,,,,
328,91561.844,1220.5,345.436645,11071.81023,,,,,,,,,,,,,
329,201349.5723,1221,320.6315618,3812.177306,,,,,,,,,,,,,
330,236437.1607,1224.5,315.2002325,3512.23231,,,,,,,,,,,,,
331,350008.6509,1229.5,545.6426911,6612.395204,,,,,,,,,,,,,
332,220842.9971,1237,315.7565095,3262.669922,,,,,,,,,,,,,
333,337380.6778,1241,408.9063965,4711.571266,,,,,,,,,,,,,
334,140491.9523,1243.5,506.546393,5959.789475,,,,,,,,,,,,,
335,148620.3587,1244.5,525.5913785,6261.292051,,,,,,,,,,,,,
336,26195.18158,1248,420.0190481,4111.33311,,,,,,,,,,,,,
337,160906.4394,1251,540.5983955,6810.956685,,,,,,,,,,,,,
338,259854.1352,1258.5,345.2926725,5014.353942,,,,,,,,,,,,,
339,325793.5543,1276,340.9997292,3761.088553,,,,,,,,,,,,,
340,187640.4366,1277,505.7668064,6462.158316,,,,,,,,,,,,,
341,334908.2649,1277.5,342.9735861,3812.383663,,,,,,,,,,,,,
342,294624.4137,1278,450.4655084,5011.121939,,,,,,,,,,,,,
343,265461.1125,1280.5,454.5998135,5060.331608,,,,,,,,,,,,,
344,128768.6921,1290,449.6007892,6212.6205,,,,,,,,,,,,,
345,190885.8593,1291.5,213.3544299,2211.028926,,,,,,,,,,,,,
346,274607.5924,1295,362.1361418,3810.77565,,,,,,,,,,,,,
347,139256.017,1298.5,355.6206052,4312.088716,,,,,,,,,,,,,
348,283964.136,1300,724.765567,13568.37636,,,,,,,,,,,,,
349,262801.7773,1300.5,358.6439635,4717.005177,,,,,,,,,,,,,
350,258839.3812,1304.5,478.6053812,5470.538409,,,,,,,,,,,,,
351,100124.9774,1306,310.7600479,12520.36852,,,,,,,,,,,,,
352,346515.1935,1320.5,732.3084543,11261.99304,,,,,,,,,,,,,
353,275981.3676,1326,217.0472432,7922.072466,,,,,,,,,,,,,
354,229431.7012,1327.5,342.0634235,4162.536397,,,,,,,,,,,,,
355,320084.4283,1331,357.814087,4261.712184,,,,,,,,,,,,,
356,251009.2934,1331.5,379.3753805,4362.982252,,,,,,,,,,,,,
357,84954.23675,1338,378.77217,4461.64458,,,,,,,,,,,,,
358,366006.7696,1338.5,299.6694196,3411.75163,,,,,,,,,,,,,
359,140682.8968,1339,241.9288352,2509.650623,,,,,,,,,,,,,
360,62758.73015,1341.5,568.1001767,7011.051173,,,,,,,,,,,,,
361,202442.5499,1342.5,396.5451299,4662.18402,,,,,,,,,,,,,
362,35548.6115,1349.5,247.8414061,5561.141244,,,,,,,,,,,,,
363,21369.79222,1353,545.7809038,7162.120385,,,,,,,,,,,,,
364,196821.3247,1359.5,293.9993491,3111.159357,,,,,,,,,,,,,
365,53946.145,1361.5,290.2490569,8122.050382,,,,,,,,,,,,,
366,338993.8485,1362.5,402.3387704,4661.63132,,,,,,,,,,,,,
367,278948.8061,1363.5,447.7938527,4859.904759,,,,,,,,,,,,,
368,351232.0948,1364.5,491.8136637,5110.134152,,,,,,,,,,,,,
369,54250.90612,1366.5,211.1179001,6728.809074,,,,,,,,,,,,,
370,307197.3808,1369.5,285.572916,3311.526475,,,,,,,,,,,,,
371,235690.7704,1374.5,239.286965,2660.243312,,,,,,,,,,,,,
372,144533.4841,1375,401.2101822,4661.663107,,,,,,,,,,,,,
373,322076.0353,1375.5,276.5968994,3162.107066,,,,,,,,,,,,,
374,157738.5596,1383,441.2526911,7213.139959,,,,,,,,,,,,,
375,101487.3673,1386.5,441.5104786,5211.412557,,,,,,,,,,,,,
376,319162.1157,1393.5,315.9496045,3412.626823,,,,,,,,,,,,,
377,96308.60155,1400,459.434515,4713.040634,,,,,,,,,,,,,
378,120775.2973,1401.5,310.3741727,3461.184454,,,,,,,,,,,,,
