Cutoff,downstream_distance,time,radius,cutlen,,,
419,22638.85471,1663,420.5166533,4011.028624,,,
420,223821.0999,1666.5,507.0840437,7112.935774,,,
421,115015.8893,1671.5,292.4737751,3410.291972,,,
422,156852.5987,1672.5,417.9390509,19583.12509,,,
423,184155.9802,1675,444.8050929,9663.075958,,,
424,300200.2154,1675.5,459.1057704,5109.883313,,,
425,137561.4689,1676.5,468.4796927,5863.366888,,,
426,149967.3943,1679,291.9001271,3115.979701,,,
427,95332.54529,1693.5,386.6373599,4811.447291,,,
428,257237.8588,1694.5,443.8222745,5260.761801,,,
429,266391.0248,1698,394.6487826,4660.707987,,,
430,327073.417,1699.5,321.7799818,3159.467314,,,
431,241408.7399,1702,598.9821975,7711.623249,,,
432,88268.45939,1704.5,303.1899087,3360.323881,,,
433,75649.5984,1706,289.716895,3310.23723,,,
434,332864.354,1717.5,343.564616,6212.289878,,,
435,235144.1371,1720.5,366.1443809,8114.964901,,,
436,140565.7307,1722,390.9705272,4209.728915,,,
437,115719.7033,1723.5,359.1558215,4260.812866,,,
438,9414.434952,1724,289.3299779,3210.448985,,,
439,350878.2668,1736.5,581.6334022,7109.792352,,,
440,250743.3823,1737.5,382.1906493,4211.029873,,,
441,372144.9709,1744.5,468.5545191,6412.359541,,,
442,216204.1582,1746.5,511.3560221,6061.394614,,,
443,222017.416,1748,266.7232523,2812.312814,,,
444,234300.0611,1752.5,418.7349098,4910.938493,,,
445,310563.996,1760.5,277.6670167,3110.093806,,,
446,360833.0335,1763,386.7544319,5112.110169,,,
447,31661.58649,1765.5,286.1442029,3109.274981,,,
448,268243.4667,1767.5,295.376285,6764.382001,,,
449,143222.8302,1771,337.6995285,4613.762389,,,
450,204332.2854,1772.5,412.5494491,6961.355915,,,
451,77391.63881,1774.5,396.3967686,4409.835347,,,
452,162377.0936,1776.5,402.5441645,4359.899131,,,
453,194563.033,1788.5,444.4885311,5661.348016,,,
454,163951.7744,1791.5,271.3976462,3011.562735,,,
455,202385.6334,1792.5,265.5394462,3711.388457,,,
456,110247.7318,1794,529.9632419,6159.446496,,,
457,74634.56473,1806.5,471.0123466,5710.084762,,,
458,274759.0025,1810.5,342.7681447,4010.716498,,,
459,216889.5612,1817,397.7424999,4309.67167,,,
460,97179.99049,1819.5,305.8925125,3560.815099,,,
461,110406.4296,1822,286.3462317,2959.235314,,,
462,33017.47917,1823,465.2770213,5510.888574,,,
463,376089.9012,1824.5,325.0090944,3409.677859,,,
464,292370.8955,1830,521.3243101,6310.191774,,,
465,331004.7164,1830.5,541.0095081,5559.543903,,,
466,12319.61215,1831.5,296.3081271,3209.685687,,,
467,181870.843,1832.5,369.4764747,4210.430966,,,
468,243878.1033,1837.5,309.3534949,3209.266707,,,
469,13817.79868,1838,320.7562942,3864.785136,,,
470,112831.9339,1840.5,256.3857204,2909.58139,,,
471,295859.3914,1846,266.2371222,3110.876496,,,
472,296553.4486,1858.5,488.218432,5859.861389,,,
473,369092.728,1863.5,492.7968177,5809.859287,,,
474,18379.40047,1864,491.2043603,6609.810702,,,
475,353857.5667,1864.5,607.84533,8013.220392,,,
476,237521.7698,1869,365.8540199,4009.784528,,,
477,245849.079,1870,285.4690258,3159.880637,,,
478,309775.9997,1871.5,516.9186852,6310.839952,,,
479,332147.1871,1880.5,257.589367,2809.042556,,,
480,303897.5994,1882.5,264.9987319,2810.486885,,,
481,226551.2745,1883.5,293.9253573,3109.438563,,,
482,271285.457,1885.5,292.9779626,3510.483022,,,
483,29402.16615,1886,289.8100732,3261.166647,,,
484,184949.5807,1886.5,388.6998614,4210.323758,,,
485,360096.2496,1888,423.2855578,4910.287658,,,
486,7109.748045,1889,266.7325027,11168.39985,,,
487,267921.1342,1889.5,489.2515021,5767.468742,,,
488,276028.9436,1896,259.9068993,3009.914516,,,
489,152900.0499,1900.5,277.2982129,3209.669951,,,
490,140583.2979,1912.5,435.0788263,4960.268445,,,
491,217760.2128,1920,367.2410751,4510.88056,,,
492,236757.4548,1922,312.1759718,3660.308334,,,
493,56840.47501,1924.5,668.6504031,9111.57606,,,
494,110950.1418,1932.5,252.0459255,2859.972808,,,
495,203187.9734,1933,479.7093193,5711.134129,,,
496,304355.8277,1933.5,413.8837071,5160.591603,,,
497,388469.2983,1938.5,254.1805255,2758.926106,,,
498,77535.55933,1942.5,408.3121249,4760.001585,,,
499,371189.1469,1944,238.7183564,2458.222131,,,
