Cutoff,downstream_distance,time,radius,cutlen,,,
445,98387.09564,1596.5,474.4427575,5862.238069,,,
446,55473.39212,1604.5,222.0427862,4213.780726,,,
447,114433.7584,1605.5,415.4518886,5312.485937,,,
448,393867.597,1616,256.6953482,2659.66612,,,
449,254762.6073,1628,325.3702066,3661.75346,,,
450,224299.2531,1629.5,248.1219496,2760.657639,,,
451,231944.451,1632,443.7805461,5411.274216,,,
452,144437.2266,1634,543.0154886,8011.534064,,,
453,228722.7086,1635,258.7918394,8336.52821,,,
454,140882.9698,1640,265.3627921,6117.659317,,,
455,343356.1308,1643.5,287.7882372,9865.389533,,,
456,290206.4999,1653.5,366.8875415,4160.029606,,,
457,54755.68909,1659.5,474.7418517,5310.143457,,,
458,101205.4203,1662,378.1070733,4963.48906,,,
459,58266.41239,1667.5,608.0341315,6912.670728,,,
460,274242.9144,1670,658.4835178,8560.171926,,,
461,282269.7311,1672,339.0830808,3662.840887,,,
462,297658.7058,1673,409.9879774,8712.688014,,,
463,212529.4233,1673.5,458.4592742,5712.107256,,,
464,382977.17,1675.5,336.2944477,3715.507767,,,
465,171419.397,1680.5,729.2358315,11162.15751,,,
466,311854.1273,1684,357.3975822,4262.059767,,,
467,41376.40725,1685.5,562.8875013,5660.456814,,,
468,121809.6452,1691,290.0803546,3361.863186,,,
469,14224.02728,1692,397.8172802,4361.034209,,,
470,353794.9835,1692.5,347.1121567,3711.44114,,,
471,84731.53984,1697,492.9852398,6311.256782,,,
472,59272.63958,1697.5,259.170177,2912.862712,,,
473,17380.04017,1704.5,396.6140801,12720.41469,,,
474,86786.11045,1715,236.5039405,2562.290348,,,
475,132334.2984,1715.5,413.9615458,4662.421664,,,
476,226083.6978,1724,356.4991832,3760.847004,,,
477,144699.5842,1732,477.784463,6111.791005,,,
478,134630.376,1733.5,239.4188254,2712.999499,,,
479,65632.51282,1734,462.7952427,5311.270196,,,
480,309802.511,1741,274.2687163,2910.126533,,,
481,278102.8142,1744.5,419.9410209,4060.578972,,,
482,72342.93648,1745.5,409.6326863,5263.737662,,,
483,350872.5765,1750,382.8570657,4862.487071,,,
484,177824.2322,1752.5,480.6527135,8262.994084,,,
485,170718.3858,1757.5,387.3306448,4164.51034,,,
486,221530.5178,1758.5,323.0597149,3862.069182,,,
487,315114.2068,1759,556.5519236,7562.082275,,,
488,203087.8648,1760,463.5118477,6013.663347,,,
489,208124.7745,1762,454.4267844,5663.497954,,,
490,113938.7082,1762.5,277.7258962,8720.232004,,,
491,369803.552,1764,270.5016505,3161.882969,,,
492,376598.9959,1766,356.1501757,4211.728874,,,
493,196468.8866,1771,406.7673804,4512.482576,,,
494,63060.30134,1782.5,265.5065154,2960.651385,,,
495,254583.7343,1788,305.4108764,3160.138329,,,
496,161103.0191,1796,292.6705712,2859.767352,,,
497,140856.3629,1799.5,502.9214512,6162.805562,,,
498,109256.0595,1800,416.5839055,14776.65979,,,
499,93134.96308,1800.5,423.9823805,4713.684413,,,
